pair_id,candidate_a,candidate_b,rank_a,rank_b,score_a,score_b,delta_score,delta_corr,delta_psr,delta_context128,delta_context_combined,delta_neigh,delta_gradient,delta_phase,delta_center,delta_family,label
pair_006,GT,Rank_8,37,8,0.005273884682665874,0.02057477976885428,-0.015300895086188405,0.006676197052001953,0,-0.7499012927464288,0.0034400457806423312,0.007727993652224485,0.0008763968944549005,-0.046599025766973196,29.316533772283172,0.0,1
pair_006,GT,Rank_9,37,9,0.005273884682665874,0.01866876530853722,-0.013394880625871346,-0.017341136932373047,0,-0.036410361161614196,-0.027686919308313074,0.01861866377294058,-0.04532679915428167,-0.037500000000000006,26.78699631494328,0.0,1
pair_006,GT,Rank_10,37,10,0.005273884682665874,0.017785136496393517,-0.012511251813727642,0.005561769008636475,0,-0.7603389373564907,0.005984125567896514,0.016601433977484703,0.015346378087997381,0.03749999999999999,28.978678702425825,0.0,1
pair_006,GT,Rank_11,37,11,0.005273884682665874,0.01579275515351062,-0.010518870470844745,-0.028371870517730713,0,-0.7920514249249236,-0.005453308610336494,0.00685462169349188,-0.05135300755500799,-0.0749999999999999,-14.253605088650204,0.0,1
pair_006,GT,Rank_12,37,12,0.005273884682665874,0.015704322893670457,-0.010430438211004582,-0.0015180110931396484,0,-0.3027783036559753,-0.006553857307570576,0.024575531482696478,-0.02553021907806402,-0.037500000000000006,9.496734468806835,0.0,1
pair_006,GT,Rank_13,37,13,0.005273884682665874,0.015521155278026232,-0.010247270595360358,0.004925847053527832,0,0.0786867236106611,0.06064456241091981,0.028077015653252574,-0.0023083984851837713,0.03749999999999999,-94.09917795500034,0.0,1
pair_006,GT,Rank_14,37,14,0.005273884682665874,0.015028865638142007,-0.009754980955476132,-0.025572121143341064,0,-0.7905047633644445,-0.0006293865321326808,0.10382650909014049,-0.033142358064651545,0.03749999999999999,-96.8032461093715,0.0,1
pair_006,GT,Rank_15,37,15,0.005273884682665874,0.014496971606822673,-0.009223086924156798,0.004249632358551025,0,-0.3070106962023061,0.032229444533103835,0.07544449716806409,0.0034924149513244074,-0.04211646096066221,-76.25003293792257,0.0,1
pair_006,GT,Rank_16,37,16,0.005273884682665874,0.01332670041691024,-0.008052815734244365,-0.01325291395187378,0,-0.3702333198843232,0.04137944387566572,0.035463789477944374,-0.036219328641891535,-0.05520509831248421,-62.37867971546662,0.0,1
pair_006,GT,Rank_17,37,17,0.005273884682665874,0.013235396536443268,-0.007961511853777394,-0.014435172080993652,0,0.0889546121851295,0.048509577222051514,0.03388352319598198,0.0028397738933563232,-0.037500000000000006,-95.05140659132273,0.0,1
